No.,Symbol,Company Name,Stock Price,% Change,Div. Yield,Market Cap
"106","XHR","Xenia Hotels & Resorts, Inc.","14.67","-1.34%","3.82%","1.48B"
"107","TWO","Two Harbors Investment Corp.","14.10","5.62%","9.65%","1.47B"
"108","DHC","Diversified Healthcare Trust","5.92","7.64%","0.68%","1.43B"
"109","LADR","Ladder Capital Corp","11.19","0.54%","8.22%","1.42B"
"110","IIPR","Innovative Industrial Properties, Inc.","50.54","-0.53%","15.04%","1.42B"
"111","UMH","UMH Properties, Inc.","16.60","1.10%","5.42%","1.41B"
"112","PEB","Pebblebrook Hotel Trust","12.29","1.32%","0.33%","1.41B"
"113","ARI","Apollo Commercial Real Estate Finance, Inc.","10.15","0.59%","9.85%","1.41B"
"114","AAT","American Assets Trust, Inc.","17.98","-3.80%","7.56%","1.39B"
"115","SILA","Sila Realty Trust, Inc.","23.97","-0.58%","6.68%","1.32B"
"116","JBGS","JBG SMITH Properties","17.62","1.97%","3.97%","1.28B"
"117","ALX","Alexander's, Inc.","240.83","2.45%","7.47%","1.23B"
"118","PMT","PennyMac Mortgage Investment Trust","13.81","2.52%","11.59%","1.20B"
"119","DEA","Easterly Government Properties, Inc.","23.10","1.01%","7.79%","1.18B"
"120","RLJ","RLJ Lodging Trust","7.66","0.13%","7.83%","1.15B"
"121","CSR","Centerspace","64.69","0.09%","4.76%","1.14B"
"122","CIM","Chimera Investment Corporation","13.39","1.59%","11.05%","1.11B"
"123","CBL","CBL & Associates Properties, Inc.","36.15","-2.67%","4.98%","1.11B"
"124","BFS","Saul Centers, Inc.","31.84","-0.34%","7.41%","1.10B"
"125","SAFE","Safehold Inc.","14.98","-0.53%","4.73%","1.07B"
"126","PDM","Piedmont Realty Trust, Inc.","8.55","-2.29%","1.46%","1.06B"
"127","MFA","MFA Financial, Inc.","10.10","1.92%","14.26%","1.03B"
"128","PLYM","Plymouth Industrial REIT, Inc.","21.87","-","4.39%","985.06M"
"129","AIV","Apartment Investment and Management Company","5.94","0.17%","37.54%","909.67M"
"130","FBRT","Franklin BSP Realty Trust, Inc.","10.29","0.39%","13.80%","839.73M"
"131","NXRT","NexPoint Residential Trust, Inc.","31.62","0.29%","6.70%","805.28M"
"132","ADAM","Adamas Trust, Inc.","8.73","3.31%","10.54%","788.39M"
"133","BRSP","BrightSpire Capital, Inc.","5.96","-","10.74%","773.21M"
"134","RWT","Redwood Trust, Inc.","5.96","2.76%","12.08%","755.03M"
"135","STRW","Strawberry Fields REIT, Inc.","13.22","-0.90%","4.84%","735.02M"
"136","AHH","Armada Hoffler Properties, Inc.","7.06","0.14%","7.93%","731.94M"
"137","WSR","Whitestone REIT","14.13","0.21%","4.03%","730.00M"
"138","TRTX","TPG RE Finance Trust, Inc.","9.21","0.66%","10.42%","720.79M"
"139","IVR","Invesco Mortgage Capital Inc.","9.41","1.18%","15.30%","667.60M"
"140","CTO","CTO Realty Growth, Inc.","18.45","1.15%","8.24%","597.27M"
"141","PSTL","Postal Realty Trust, Inc.","17.52","0.98%","5.54%","581.64M"
"142","GOOD","Gladstone Commercial Corporation","11.72","1.12%","10.24%","567.72M"
"143","INN","Summit Hotel Properties, Inc.","4.750","0.64%","6.74%","564.83M"
"144","UHT","Universal Health Realty Income Trust","40.32","0.70%","7.39%","559.38M"
"145","HPP","Hudson Pacific Properties, Inc.","9.96","1.53%","-","546.77M"
"146","KREF","KKR Real Estate Finance Trust Inc.","8.29","0.85%","12.06%","542.90M"
"147","BDN","Brandywine Realty Trust","3.100","0.98%","10.32%","540.07M"
"148","PKST","Peakstone Realty Trust","13.99","-","2.86%","514.70M"
"149","GMRE","Global Medical REIT Inc.","36.11","0.11%","8.31%","500.17M"
"150","OLP","One Liberty Properties, Inc.","21.57","0.94%","8.34%","466.89M"
"151","FPI","Farmland Partners Inc.","10.70","1.13%","2.24%","465.78M"
"152","CHCT","Community Healthcare Trust Incorporated","17.04","-0.12%","11.15%","459.29M"
"153","FVR","FrontView REIT, Inc.","16.20","-1.16%","5.31%","457.17M"
"154","CMTG","Claros Mortgage Trust, Inc.","2.920","2.46%","-","409.44M"
"155","ILPT","Industrial Logistics Properties Trust","5.96","-1.16%","3.36%","397.29M"
"156","RC","Ready Capital Corporation","2.310","4.52%","1.73%","375.90M"
"157","LAND","Gladstone Land Corporation","10.03","0.40%","5.59%","373.79M"
"158","SVC","Service Properties Trust","2.150","-","1.86%","361.39M"
"159","CLDT","Chatham Lodging Trust","6.91","-1.29%","5.21%","344.69M"
"160","NREF","NexPoint Real Estate Finance, Inc.","14.98","0.88%","13.35%","340.95M"
"161","SITC","SITE Centers Corp.","6.34","1.12%","106.47%","332.61M"
"162","BRT","BRT Apartments Corp.","15.03","-","6.65%","299.75M"
"163","MITT","TPG Mortgage Investment Trust, Inc.","9.21","-","9.99%","292.37M"
"164","NLOP","Net Lease Office Properties","19.70","1.03%","62.44%","291.84M"
"165","ACRE","Ares Commercial Real Estate Corporation","5.11","0.39%","11.74%","280.62M"
"166","ELME","Elme Communities","3.080","-0.65%","23.38%","271.57M"
"167","PINE","Alpine Income Property Trust, Inc.","17.55","0.98%","6.50%","270.07M"
"168","REFI","Chicago Atlantic Real Estate Finance, Inc.","12.55","-1.10%","16.41%","264.49M"
"169","AOMR","Angel Oak Mortgage REIT, Inc.","9.25","1.09%","13.84%","230.45M"
"170","BHR","Braemar Hotels & Resorts Inc.","2.890","-5.25%","6.92%","212.80M"
"171","MDV","Modiv Industrial, Inc.","14.72","-0.74%","7.95%","174.70M"
"172","CLPR","Clipper Realty Inc.","3.720","-0.27%","10.22%","157.97M"
"173","ACR","ACRES Commercial Realty Corp.","20.32","-1.31%","-","141.37M"
"174","SEVN","Seven Hills Realty Trust","9.18","0.44%","12.20%","138.30M"
"175","BHM","Bluerock Homes Trust, Inc.","9.84","-0.51%","5.08%","130.02M"
"176","SUNS","Sunrise Realty Trust, Inc.","9.25","-0.96%","12.97%","124.14M"
"177","RPT","Rithm Property Trust Inc.","16.17","-0.80%","8.91%","122.36M"
"178","ONL","Orion Properties Inc.","2.150","0.94%","3.72%","121.08M"
"179","GPMT","Granite Point Mortgage Trust Inc.","2.530","2.43%","7.91%","119.94M"
"180","CHMI","Cherry Hill Mortgage Investment Corporation","2.760","2.22%","14.49%","103.23M"
"181","FSP","Franklin Street Properties Corp.","0.907","-0.38%","4.41%","94.00M"
"182","LFT","Lument Finance Trust, Inc.","1.450","0.69%","11.03%","75.93M"
"183","AFCG","Advanced Flower Capital Inc.","2.540","4.53%","23.62%","57.39M"
"184","SELF","Global Self Storage, Inc.","5.02","-0.99%","5.78%","56.92M"
"185","LOAN","Manhattan Bridge Capital, Inc.","4.645","-0.32%","9.96%","52.85M"
"186","SACH","Sachem Capital Corp.","1.060","-0.93%","18.87%","50.55M"
"187","SOHO","Sotherly Hotels Inc.","2.170","0.46%","-","44.46M"
"188","AHT","Ashford Hospitality Trust, Inc.","4.800","5.49%","-","31.36M"
"189","MDRR","Medalist Diversified REIT, Inc.","12.10","-4.42%","2.23%","26.87M"
"190","IHT","InnSuites Hospitality Trust","1.280","-","1.56%","15.86M"
"191","MKZR","MacKenzie Realty Capital, Inc.","4.865","11.66%","10.28%","8.82M"
"192","GIPR","Generation Income Properties, Inc.","0.744","1.07%","-","4.05M"
"193","SQFT","Presidio Property Trust, Inc.","3.235","3.35%","-","3.98M"
"194","WHLR","Wheeler Real Estate Investment Trust, Inc.","1.690","0.60%","-","3.52M"
"195","PW","Power REIT","1.030","1.98%","-","3.49M"
"196","CMCT","Creative Media & Community Trust Corporation","3.120","-2.19%","-","2.95M"
