Symbol,Name,Column 3,Price,Change,Change %,Market Cap,Volume,Volume In Currency (24hr),Total Volume All Currencies (24hr),Circulating Supply,52 Wk Change %,52 Wk Range
"ICP-USD","Internet Computer USD","","4.16 +0.18 (+4.50%)","+0.18","+4.49%","2.279B","170.408M","170.408M","170.408M","547.327M","-59.66%","1.98 10.93"
"NEAR-USD","NEAR Protocol USD","","1.72 -0.06 (-3.44%)","-0.06","-3.36%","2.207B","145.833M","145.833M","145.833M","1.285B","-64.79%","1.41 5.64"
"JITOSOL-USD","Jito Staked SOL USD","","178.21 -2.43 (-1.34%)","-2.44","-1.35%","2.056B","6.529M","6.529M","6.529M","11.539M","-36.82%","114.16 340.10"
"USDF35721-USD","Falcon USD USD","","1.00 +0.00 (+0.06%)","+0.00","+0.06%","2.052B","337,595","337,595","337,595","2.057B","-0.27%","0.91 1.02"
"BFUSD-USD","BFUSD USD","","1.00 -0.00 (-0.01%)","-0.00","-0.00%","1.999B","7.187M","7.187M","7.187M","2.001B","-0.06%","1.00 1.01"
"M35491-USD","MemeCore USD","","1.57 -0.00 (-0.05%)","-0.00","-0.11%","1.978B","8.574M","8.574M","8.574M","1.258B","+2,708.28%","0.04 2.96"
"ETC-USD","Ethereum Classic USD","","12.72 -0.30 (-2.28%)","-0.29","-2.20%","1.973B","58.212M","58.212M","58.212M","155.175M","-49.36%","10.24 29.18"
"XAUT-USD","Tether Gold USD","","4,606.09 +8.28 (+0.18%)","+8.58","+0.19%","1.885B","54.286M","54.286M","54.286M","409,217","+71.23%","2,677.35 4,677.45"
"ASTER36341-USD","Aster USD","","0.71 -0.01 (-1.61%)","-0.01","-1.50%","1.835B","86.407M","86.399M","86.399M","2.574B","+84.75%","0.08 2.42"
"PAXG-USD","PAX Gold USD","","4,625.96 +18.08 (+0.39%)","+17.99","+0.39%","1.773B","64.038M","64.038M","64.038M","383,237","+72.12%","2,665.32 4,647.59"
"ENA-USD","Ethena USD","","0.22 -0.01 (-2.45%)","-0.01","-2.43%","1.72B","91.745M","91.745M","91.745M","7.958B","-74.15%","0.19 0.97"
"PI35697-USD","Pi USD","","0.20 -0.00 (-0.62%)","-0.00","-0.61%","1.705B","7.477M","7.477M","7.477M","8.383B","-75.20%","0.16 1.62"
"BTCT9486-USD","Bitcoin TRC20 USD","","95,428.18 -82.98 (-0.09%)","-82.98","-0.09%","1.674B","45,645","45,645","45,645","17,545","-5.90%","73,562.28 228,560.94"
"JLP-USD","Jupiter Perps LP USD","","4.89 -0.02 (-0.47%)","-0.02","-0.48%","1.616B","12.082M","12.082M","12.082M","330.402M","+5.95%","3.06 6.00"
"USDG33793-USD","Global Dollar USD","","1.00 +0.00 (+0.01%)","+0.00","+0.00%","1.588B","5.868M","5.868M","5.868M","1.589B","-0.04%","0.93 1.50"
"SYRUPUSDC-USD","syrupUSDC USD","","1.15 +0.00 (+0.02%)","+0.00","+0.02%","1.544B","8.31M","8.31M","8.31M","1.346B","+1.42%","0.50 1.29"
"BNSOL-USD","Binance Staked SOL USD","","155.17 -2.36 (-1.50%)","-2.37","-1.50%","1.526B","1.498M","1.498M","1.498M","9.836M","-38.54%","54.10 301.28"
