No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"810","HLMAF","Halma plc","18.69B","49.25","-1.06%","3.24B"
"811","BKRIF","Bank of Ireland Group plc","18.68B","18.75","-2.93%","4.72B"
"812","BKRIY","Bank of Ireland Group plc","18.68B","19.51","0.67%","4.72B"
"813","CVCCF","CVC Capital Partners plc","18.68B","16.32","-4.00%","2.08B"
"814","ASCCF","ASICS Corporation","18.64B","25.50","3.41%","5.26B"
"815","ASCCY","ASICS Corporation","18.64B","26.19","0.12%","5.26B"
"816","OMVJF","OMV Aktiengesellschaft","18.62B","55.50","-","37.41B"
"817","OMVKY","OMV Aktiengesellschaft","18.62B","14.41","0.63%","37.41B"
"818","KNAMF","Konami Group Corporation","18.55B","136.16","-","3.12B"
"819","KONMY","Konami Group Corporation","18.55B","69.95","0.04%","3.12B"
"820","SARTF","Sartorius Aktiengesellschaft","18.45B","225.00","2.27%","4.13B"
"821","SOAGY","Sartorius Aktiengesellschaft","18.45B","59.52","1.11%","4.13B"
"822","SSSGY","Sartorius Aktiengesellschaft","18.45B","47.87","-3.76%","4.13B"
"823","CAOVF","China Overseas Land & Investment Limited","18.40B","1.470","-","25.33B"
"824","CAOVY","China Overseas Land & Investment Limited","18.40B","8.34","-2.29%","25.33B"
"825","CABGY","Carlsberg A/S","18.34B","26.57","-1.30%","12.92B"
"826","CABJF","Carlsberg A/S","18.34B","134.49","5.91%","12.92B"
"827","SIELF","Shanghai Electric Group Co., Ltd.","18.26B","0.505","36.99%","17.12B"
"828","SIELY","Shanghai Electric Group Co., Ltd.","18.26B","11.50","10.05%","17.12B"
"829","CXMSF","CEMEX, S.A.B. de C.V.","18.08B","1.250","-","15.87B"
"830","TRATF","Traton SE","18.00B","36.02","-0.39%","52.26B"
"831","TRATY","Traton SE","18.00B","35.55","-1.25%","52.26B"
"832","NTOIF","Neste Oyj","18.00B","24.30","6.46%","23.03B"
"833","NTOIY","Neste Oyj","18.00B","11.69","-1.60%","23.03B"
"834","KUBTF","Kubota Corporation","17.92B","14.00","-9.09%","19.88B"
"835","KUBTY","Kubota Corporation","17.92B","78.90","1.85%","19.88B"
"836","JDEPF","JDE Peet's N.V.","17.90B","36.41","-0.94%","11.36B"
"837","JDEPY","JDE Peet's N.V.","17.90B","19.69","2.45%","11.36B"
"838","EMSHF","EMS-CHEMIE HOLDING AG","17.89B","702.84","-","2.54B"
"839","CRWOF","China Railway Group Limited","17.86B","0.500","-","156.77B"
"840","KAEPF","The Kansai Electric Power Company, Incorporated","17.85B","16.16","-8.83%","28.44B"
"841","KAEPY","The Kansai Electric Power Company, Incorporated","17.85B","8.10","-1.66%","28.44B"
