No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"121","ZS","Zscaler, Inc.","34.05B","213.49","1.38%","2.83B"
"122","SOFI","SoFi Technologies, Inc.","33.71B","26.68","0.91%","3.29B"
"123","MDB","MongoDB, Inc.","33.55B","412.25","5.92%","2.32B"
"124","ESLT","Elbit Systems Ltd.","33.40B","730.76","1.43%","7.72B"
"125","KMB","Kimberly-Clark Corporation","32.94B","99.26","-1.15%","19.72B"
"126","IBKR","Interactive Brokers Group, Inc.","32.71B","73.44","-0.33%","6.00B"
"127","ACGL","Arch Capital Group Ltd.","32.70B","90.57","-0.41%","19.54B"
"128","FITB","Fifth Third Bancorp","32.60B","49.32","0.60%","8.13B"
"129","NTRA","Natera, Inc.","32.38B","234.06","-2.61%","2.12B"
"130","FOXA","Fox Corporation","32.02B","72.13","-0.58%","16.47B"
"131","ERIC","Telefonaktiebolaget LM Ericsson (publ)","31.93B","9.42","-0.84%","25.50B"
"132","TEAM","Atlassian Corporation","31.83B","120.97","-5.82%","5.46B"
"133","VOD","Vodafone Group Public Limited Company","31.64B","13.41","-0.30%","45.50B"
"134","WTW","Willis Towers Watson Public Limited Company","31.55B","329.46","0.30%","9.81B"
"135","ALAB","Astera Labs, Inc.","30.97B","183.33","5.09%","723.04M"
"136","VRSK","Verisk Analytics, Inc.","30.96B","222.16","0.05%","3.03B"
"137","FOX","Fox Corporation","30.58B","65.41","-0.33%","16.47B"
"138","LPLA","LPL Financial Holdings Inc.","30.35B","379.18","0.62%","15.16B"
"139","ULTA","Ulta Beauty, Inc.","29.34B","661.36","-0.57%","11.98B"
"140","HBAN","Huntington Bancshares Incorporated","28.36B","18.09","0.75%","7.50B"
"141","FTAI","FTAI Aviation Ltd.","28.17B","274.62","2.91%","2.34B"
"142","KHC","The Kraft Heinz Company","28.08B","23.72","-2.15%","25.16B"
"143","NTRS","Northern Trust Corporation","27.79B","146.97","-0.09%","7.93B"
"144","DLTR","Dollar Tree, Inc.","27.79B","139.74","-1.04%","18.96B"
"145","CSGP","CoStar Group, Inc.","27.71B","65.37","3.14%","3.06B"
"146","CRDO","Credo Technology Group Holding Ltd","27.68B","153.26","2.78%","796.13M"
"147","NBIS","Nebius Group N.V.","27.47B","109.08","5.00%","363.30M"
"148","CHTR","Charter Communications, Inc.","27.44B","188.07","-3.36%","55.10B"
"149","DXCM","DexCom, Inc.","27.43B","70.32","1.56%","4.52B"
"150","BNTX","BioNTech SE","27.26B","108.62","2.40%","3.70B"
"151","FCNCA","First Citizens BancShares, Inc.","26.92B","2,164.62","0.21%","8.90B"
"152","TSCO","Tractor Supply Company","26.78B","50.68","-0.10%","15.40B"
"153","FSLR","First Solar, Inc.","26.33B","245.33","0.69%","5.05B"
"154","TPG","TPG Inc.","25.78B","68.19","1.37%","4.26B"
"155","CINF","Cincinnati Financial Corporation","25.40B","162.80","-0.35%","12.08B"
"156","STLD","Steel Dynamics, Inc.","25.30B","173.26","-1.06%","17.63B"
"157","AFRM","Affirm Holdings, Inc.","25.01B","75.76","5.50%","3.46B"
"158","TW","Tradeweb Markets Inc.","24.97B","105.61","1.44%","1.99B"
"159","ON","ON Semiconductor Corporation","24.75B","61.52","2.06%","6.19B"
"160","ZM","Zoom Communications, Inc.","24.19B","81.68","0.20%","4.81B"
"161","BIIB","Biogen Inc.","24.18B","164.84","-2.22%","10.07B"
