No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"107","BOH","Bank of Hawaii Corporation","2.84B","71.49","-0.51%","677.46M"
"108","SFNC","Simmons First National Corporation","2.80B","19.37","0.47%","-1.31M"
"109","TOWN","TowneBank","2.74B","35.22","-0.25%","766.60M"
"110","CVBF","CVB Financial Corp.","2.73B","19.93","0.25%","509.49M"
"111","CUBI","Customers Bancorp, Inc.","2.71B","79.32","0.75%","651.98M"
"112","PFS","Provident Financial Services, Inc.","2.64B","20.18","-0.54%","836.92M"
"113","FFBC","First Financial Bancorp.","2.63B","26.72","-0.35%","815.89M"
"114","PRK","Park National Corporation","2.61B","162.11","-1.01%","535.83M"
"115","WAFD","WaFd, Inc.","2.52B","32.91","-2.43%","734.47M"
"116","TRMK","Trustmark Corporation","2.48B","41.30","0.32%","773.34M"
"117","FBNC","First Bancorp","2.43B","58.61","1.88%","364.80M"
"118","LC","LendingClub Corporation","2.38B","20.66","1.47%","1.30B"
"119","BBT","Beacon Financial Corporation","2.32B","27.53","0.51%","318.12M"
"120","NBTB","NBT Bancorp Inc.","2.28B","43.60","-0.26%","629.73M"
"121","BANR","Banner Corporation","2.22B","65.13","-1.26%","640.03M"
"122","FRME","First Merchants Corporation","2.21B","38.21","-0.83%","649.59M"
"123","BUSE","First Busey Corporation","2.18B","24.66","-0.80%","583.96M"
"124","EFSC","Enterprise Financial Services Corp","2.05B","55.45","-1.35%","646.69M"
"125","NTB","The Bank of N.T. Butterfield & Son Limited","2.03B","50.14","-0.26%","599.45M"
"126","SYBT","Stock Yards Bancorp, Inc.","2.02B","68.55","-0.41%","378.63M"
"127","NIC","Nicolet Bankshares, Inc.","1.96B","132.75","-0.25%","375.96M"
"128","OFG","OFG Bancorp","1.83B","41.59","-0.79%","624.00M"
"129","FCF","First Commonwealth Financial Corporation","1.81B","17.51","-0.51%","468.73M"
"130","NWBI","Northwest Bancshares, Inc.","1.80B","12.31","-0.57%","564.56M"
"131","CHCO","City Holding Company","1.77B","122.83","-0.55%","307.88M"
"132","CCB","Coastal Financial Corporation","1.73B","114.44","0.66%","343.67M"
"133","LOB","Live Oak Bancshares, Inc.","1.72B","37.51","-0.96%","434.21M"
"134","CASH","Pathward Financial, Inc.","1.68B","75.23","-1.74%","780.12M"
"135","BLX","Banco Latinoamericano de Comercio Exterior, S. A.","1.67B","44.96","-0.07%","308.43M"
"136","CLBK","Columbia Financial, Inc.","1.67B","15.90","0.38%","202.02M"
"137","TFIN","Triumph Financial, Inc.","1.67B","70.08","-0.60%","412.29M"
"138","STEL","Stellar Bancorp, Inc.","1.67B","32.53","-0.73%","416.54M"
"139","MBIN","Merchants Bancorp","1.63B","35.50","-0.45%","597.25M"
"140","TCBK","TriCo Bancshares","1.61B","49.43","-0.99%","399.27M"
"141","SRCE","1st Source Corporation","1.58B","64.74","-0.96%","405.36M"
"142","STBA","S&T Bancorp, Inc.","1.55B","40.50","-0.77%","391.89M"
"143","NBHC","National Bank Holdings Corporation","1.54B","40.73","-0.17%","405.87M"
"144","LKFN","Lakeland Financial Corporation","1.52B","59.45","-0.04%","248.27M"
"145","GABC","German American Bancorp, Inc.","1.51B","40.31","-0.91%","312.78M"
"146","HOPE","Hope Bancorp, Inc.","1.50B","11.70","-0.17%","431.63M"
"147","QCRH","QCR Holdings, Inc.","1.46B","86.93","-0.29%","336.62M"
"148","BFC","Bank First Corporation","1.46B","130.45","0.52%","168.78M"
"149","RBCAA","Republic Bancorp, Inc.","1.42B","72.80","-0.22%","378.27M"
"150","BY","Byline Bancorp, Inc.","1.41B","30.67","-0.90%","400.66M"
"151","CNOB","ConnectOne Bancorp, Inc.","1.36B","27.16","-0.37%","295.96M"
"152","DCOM","Dime Community Bancshares, Inc.","1.35B","30.84","-0.93%","340.53M"
"153","OBK","Origin Bancorp, Inc.","1.25B","40.48","-","325.59M"
"154","WABC","Westamerica Bancorporation","1.23B","49.88","-2.00%","258.40M"
"155","PFBC","Preferred Bank","1.19B","96.44","-0.89%","271.35M"
"156","TMP","Tompkins Financial Corporation","1.11B","76.70","-0.12%","316.92M"
"157","PEBO","Peoples Bancorp Inc.","1.10B","31.28","-0.89%","555.35M"
"158","OSBC","Old Second Bancorp, Inc.","1.09B","20.71","-1.33%","288.83M"
"159","FSUN","FirstSun Capital Bancorp","1.09B","39.02","-0.93%","384.50M"
"160","CTBI","Community Trust Bancorp, Inc.","1.09B","59.97","0.20%","261.45M"
"161","OCFC","OceanFirst Financial Corp.","1.05B","18.30","-0.62%","378.56M"
"162","AMAL","Amalgamated Financial Corp.","1.04B","34.73","-0.17%","305.84M"
"163","FMBH","First Mid Bancshares, Inc.","996.15M","41.50","-","335.10M"
"164","NBN","Northeast Bank","995.02M","116.20","0.59%","214.70M"
"165","SUPV","Grupo Supervielle S.A.","984.99M","10.63","0.66%","467.99M"
"166","BHRB","Burke & Herbert Financial Services Corp.","974.90M","64.87","-0.51%","331.64M"
"167","SBSI","Southside Bancshares, Inc.","968.43M","32.21","-0.49%","236.35M"
"168","UVSP","Univest Financial Corporation","951.66M","33.42","-0.33%","309.14M"
"169","EQBK","Equity Bancshares, Inc.","900.79M","47.22","-0.36%","186.04M"
"170","HBNC","Horizon Bancorp, Inc.","898.35M","17.54","-0.62%","-79.17M"
"171","BFST","Business First Bancshares, Inc.","891.19M","27.16","-0.59%","303.64M"
"172","ESQ","Esquire Financial Holdings, Inc.","873.54M","107.60","-0.23%","131.74M"
"173","MOFG","MidWestOne Financial Group, Inc.","864.31M","41.89","-0.85%","221.84M"
"174","CFFN","Capitol Federal Financial, Inc.","864.16M","6.72","-0.59%","200.29M"
"175","AMTB","Amerant Bancorp Inc.","861.70M","20.90","-0.48%","388.50M"
"176","HBT","HBT Financial, Inc.","859.35M","27.34","0.29%","233.26M"
"177","HFWA","Heritage Financial Corporation","858.94M","25.30","-1.04%","232.88M"
"178","CPF","Central Pacific Financial Corp.","854.99M","31.87","-1.39%","260.67M"
"179","HAFC","Hanmi Financial Corporation","854.95M","28.79","-0.24%","246.35M"
"180","MCB","Metropolitan Bank Holding Corp.","824.36M","80.05","-2.65%","261.46M"
"181","MBWM","Mercantile Bank Corporation","820.16M","50.46","-","233.71M"
"182","FSBC","Five Star Bancorp","808.89M","37.86","-0.09%","141.93M"
"183","TRST","TrustCo Bank Corp NY","804.02M","43.64","-0.50%","181.46M"
"184","CCNE","CNB Financial Corporation","793.17M","27.14","0.52%","227.92M"
"185","HTBK","Heritage Commerce Corp","787.17M","12.87","0.39%","187.68M"
"186","HTB","HomeTrust Bancshares, Inc.","766.78M","44.33","-0.33%","206.03M"
"187","CAC","Camden National Corporation","766.15M","45.28","-0.89%","215.17M"
"188","CCBG","Capital City Bank Group, Inc.","763.49M","44.73","0.07%","246.43M"
"189","MPB","Mid Penn Bancorp, Inc.","751.84M","32.62","0.68%","208.87M"
"190","THFF","First Financial Corporation","746.06M","62.96","-0.39%","250.76M"
"191","NBBK","NB Bancorp, Inc.","726.10M","19.78","-2.13%","189.48M"
"192","ORRF","Orrstown Financial Services, Inc.","718.53M","36.85","-0.57%","247.30M"
"193","GSBC","Great Southern Bancorp, Inc.","715.22M","63.92","-0.64%","228.68M"
"194","MCBS","MetroCity Bankshares, Inc.","705.81M","27.70","-0.14%","147.35M"
"195","IBCP","Independent Bank Corporation","701.04M","33.88","0.06%","222.89M"
"196","EGBN","Eagle Bancorp, Inc.","697.63M","22.97","1.10%","3.97M"
"197","SMBC","Southern Missouri Bancorp, Inc.","696.83M","62.21","-0.07%","178.89M"
"198","SMBK","SmartFinancial, Inc.","674.39M","39.61","0.29%","188.20M"
"199","SPFI","South Plains Financial, Inc.","665.02M","40.93","-0.46%","205.25M"
"200","NPB","Northpointe Bancshares, Inc.","653.27M","19.01","1.82%","214.21M"
"201","FISI","Financial Institutions, Inc.","648.61M","32.22","-","116.74M"
"202","NRIM","Northrim BanCorp, Inc.","642.73M","29.10","0.33%","201.54M"
"203","HIFS","Hingham Institution for Savings","642.05M","294.35","1.92%","90.53M"
"204","FCBC","First Community Bankshares, Inc.","635.16M","34.68","1.11%","164.26M"
"205","ALRS","Alerus Financial Corporation","614.87M","24.21","0.25%","275.45M"
"206","SHBI","Shore Bancshares, Inc.","612.04M","18.31","-0.70%","212.49M"
"207","BCAL","California BanCorp","602.49M","18.64","-1.01%","187.71M"
"208","WASH","Washington Trust Bancorp, Inc.","579.61M","30.45","-0.49%","117.34M"
"209","BHB","Bar Harbor Bankshares","549.22M","32.91","0.03%","152.61M"
"210","UNTY","Unity Bancorp, Inc.","543.72M","54.47","-1.66%","121.97M"
"211","AROW","Arrow Financial Corporation","541.45M","32.93","0.46%","146.82M"
"212","TCBX","Third Coast Bancshares, Inc.","534.51M","38.47","-0.18%","192.22M"
"213","FFIC","Flushing Financial Corporation","522.55M","15.47","-0.58%","143.85M"
"214","FFWM","First Foundation Inc.","520.51M","6.28","-0.16%","159.62M"
"215","ACNB","ACNB Corporation","512.91M","49.39","-0.50%","136.68M"
"216","PGC","Peapack-Gladstone Financial Corporation","512.27M","29.40","0.72%","248.81M"
"217","RRBI","Red River Bancshares, Inc.","511.48M","75.70","0.29%","119.36M"
"218","FMNB","Farmers National Banc Corp.","509.45M","13.53","-","178.55M"
"219","VBNK","VersaBank","508.60M","15.61","-1.27%","85.79M"
"220","BWB","Bridgewater Bancshares, Inc.","506.18M","18.35","-0.70%","127.24M"
"221","PFIS","Peoples Financial Services Corp.","502.03M","50.23","-0.14%","182.62M"
"222","KRNY","Kearny Financial Corp.","498.89M","7.94","0.38%","158.30M"
"223","NFBK","Northfield Bancorp, Inc. (Staten Island, NY)","498.15M","11.92","-0.36%","141.98M"
"224","CBNK","Capital Bancorp, Inc.","490.83M","29.71","-0.30%","222.15M"
"225","MSBI","Midland States Bancorp, Inc.","484.91M","22.50","-0.27%","210.72M"
"226","HBCP","Home Bancorp, Inc.","480.26M","61.35","-0.16%","145.09M"
"227","CIVB","Civista Bancshares, Inc.","477.19M","23.00","-0.99%","163.10M"
"228","FBIZ","First Business Financial Services, Inc.","473.40M","56.87","-0.70%","158.05M"
"229","GBFH","GBank Financial Holdings Inc.","472.18M","32.85","1.50%","67.42M"
"230","BSRR","Sierra Bancorp","469.96M","35.34","0.83%","144.49M"
"231","SFST","Southern First Bancshares, Inc.","457.16M","55.83","-0.04%","109.39M"
"232","CARE","Carter Bankshares, Inc.","453.89M","20.55","0.83%","154.52M"
"233","CWBC","Community West Bancshares","445.82M","23.27","-0.47%","138.04M"
"234","COFS","ChoiceOne Financial Services, Inc.","431.03M","28.69","0.14%","127.93M"
"235","BMRC","Bank of Marin Bancorp","428.24M","26.86","-0.19%","96.96M"
"236","NEWT","NewtekOne, Inc.","426.67M","14.77","1.23%","380.36M"
"237","BSVN","Bank7 Corp.","424.21M","44.83","2.54%","95.68M"
"238","FRBA","First Bank","422.52M","17.03","-0.12%","135.18M"
"239","OBT","Orange County Bancorp, Inc.","399.13M","29.86","-","115.42M"
"240","GCBC","Greene County Bancorp, Inc.","387.19M","22.74","0.09%","77.44M"
"241","WTBA","West Bancorporation, Inc.","384.47M","22.70","-0.77%","91.78M"
"242","BRBS","Blue Ridge Bankshares, Inc.","383.80M","4.360","-1.36%","96.33M"
"243","CZNC","Citizens & Northern Corporation","382.38M","21.48","-0.60%","109.63M"
"244","ISTR","Investar Holding Corporation","380.62M","27.65","0.11%","93.43M"
"245","PDLB","Ponce Financial Group, Inc.","375.73M","16.48","-0.06%","96.25M"
"246","RBB","RBB Bancorp","370.43M","21.73","-0.59%","104.59M"
"247","BWFG","Bankwell Financial Group, Inc.","370.42M","48.15","0.17%","94.28M"
"248","ISBA","Isabella Bank Corporation","357.88M","48.79","-2.42%","76.49M"
"249","USCB","USCB Financial Holdings, Inc.","354.78M","19.59","-0.41%","92.33M"
"250","AVBC","Avidia Bancorp, Inc.","347.12M","17.29","1.83%","79.46M"
"251","FMAO","Farmers & Merchants Bancorp, Inc.","346.18M","25.47","0.39%","114.07M"
"252","MVBF","MVB Financial Corp.","342.29M","27.20","0.04%","167.85M"
"253","FRST","Primis Financial Corp.","338.12M","13.72","-0.22%","138.82M"
"254","WSBF","Waterstone Financial, Inc.","331.17M","17.64","-","137.06M"
"255","PBFS","Pioneer Bancorp, Inc.","328.02M","13.44","-0.67%","91.72M"
"256","CBAN","Colony Bankcorp, Inc.","326.90M","18.75","0.37%","122.55M"
"257","LNKB","LINKBANCORP, Inc.","326.26M","8.71","-0.11%","122.59M"
"258","PLBC","Plumas Bancorp","323.92M","46.57","1.22%","89.87M"
"259","NECB","Northeast Community Bancorp, Inc.","323.05M","23.03","-1.50%","102.57M"
"260","BCML","BayCom Corp","319.09M","29.48","1.03%","94.90M"
