No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"115","MMM","3M Company","90.61B","170.57","-0.31%","24.83B"
"116","BP","BP p.l.c.","90.39B","35.42","0.77%","185.93B"
"117","HWM","Howmet Aerospace Inc.","90.28B","224.54","0.12%","7.98B"
"118","MRSH","Marsh & McLennan Companies, Inc.","89.37B","182.43","0.09%","26.45B"
"119","BCS","Barclays PLC","89.11B","26.29","1.51%","34.97B"
"120","WM","Waste Management, Inc.","89.05B","221.05","0.54%","24.78B"
"121","SHW","The Sherwin-Williams Company","88.04B","357.22","0.31%","23.28B"
"122","PNC","The PNC Financial Services Group, Inc.","87.71B","223.65","4.00%","21.80B"
"123","TT","Trane Technologies plc","86.35B","389.40","0.55%","21.05B"
"124","AMT","American Tower Corporation","85.51B","182.66","0.61%","10.45B"
"125","USB","U.S. Bancorp","85.44B","54.97","1.88%","26.01B"
"126","CM","Canadian Imperial Bank of Commerce","85.25B","92.75","0.77%","19.12B"
"127","APO","Apollo Global Management, Inc.","84.49B","145.56","0.98%","27.22B"
"128","BK","The Bank of New York Mellon Corporation","84.32B","122.52","-1.17%","20.11B"
"129","ING","ING Groep N.V.","84.13B","29.06","0.48%","23.51B"
"130","FCX","Freeport-McMoRan Inc.","84.03B","58.52","-2.40%","26.00B"
"131","EMR","Emerson Electric Co.","84.03B","149.44","0.96%","18.02B"
"132","BAM","Brookfield Asset Management Ltd.","84.00B","52.72","1.31%","4.49B"
"133","B","Barrick Mining Corporation","83.79B","48.91","-1.47%","14.60B"
"134","ELV","Elevance Health, Inc.","83.37B","375.13","-1.78%","194.82B"
"135","CRH","CRH plc","82.30B","122.78","0.18%","36.90B"
"136","TDG","TransDigm Group Incorporated","81.96B","1,455.28","1.52%","8.83B"
"137","NU","Nu Holdings Ltd.","80.53B","16.62","0.06%","6.36B"
"138","LYG","Lloyds Banking Group plc","80.44B","5.50","0.27%","24.11B"
"139","GLW","Corning Incorporated","80.44B","93.82","0.35%","14.92B"
"140","CMI","Cummins Inc.","80.23B","581.23","1.11%","33.58B"
"141","DELL","Dell Technologies Inc.","79.88B","120.54","0.74%","104.09B"
"142","PBR","Petróleo Brasileiro S.A. - Petrobras","79.23B","12.73","0.95%","92.21B"
"143","PBR.A","Petróleo Brasileiro S.A. - Petrobras","79.23B","12.00","1.01%","92.21B"
"144","ITUB","Itaú Unibanco Holding S.A.","79.00B","7.41","-0.47%","25.40B"
"145","NGG","National Grid plc","78.57B","80.54","1.48%","23.50B"
"146","ECL","Ecolab Inc.","78.49B","277.12","-0.22%","15.89B"
"147","ITW","Illinois Tool Works Inc.","76.61B","264.07","0.83%","15.88B"
"148","GM","General Motors Company","76.44B","81.54","0.78%","187.44B"
"149","RELX","RELX PLC","75.94B","41.62","-0.55%","13.06B"
"150","RCL","Royal Caribbean Cruises Ltd.","75.41B","276.52","-0.57%","17.44B"
"151","INFY","Infosys Limited","75.35B","18.84","0.08%","19.85B"
"152","WMB","The Williams Companies, Inc.","75.20B","61.58","2.14%","11.58B"
"153","DB","Deutsche Bank Aktiengesellschaft","74.63B","39.04","0.44%","35.03B"
"154","AON","Aon plc","73.91B","343.87","-0.28%","17.03B"
"155","FDX","FedEx Corporation","72.93B","310.16","-0.96%","90.09B"
"156","SNOW","Snowflake Inc.","72.89B","213.00","2.53%","4.39B"
"157","CI","The Cigna Group","72.60B","271.79","-2.21%","268.08B"
"158","SE","Sea Limited","71.81B","121.29","-2.19%","21.04B"
"159","EPD","Enterprise Products Partners L.P.","71.50B","33.05","1.32%","53.00B"
"160","CNQ","Canadian Natural Resources Limited","71.13B","34.25","0.44%","27.73B"
"161","TEL","TE Connectivity plc","70.85B","240.84","-0.45%","17.26B"
"162","JCI","Johnson Controls International plc","70.23B","114.92","1.74%","23.60B"
"163","SLB","SLB N.V.","70.05B","46.89","0.69%","35.25B"
"164","HLT","Hilton Worldwide Holdings Inc.","69.84B","300.48","-0.46%","4.87B"
"165","PWR","Quanta Services, Inc.","69.19B","464.00","3.65%","27.19B"
"166","SPG","Simon Property Group, Inc.","69.08B","183.75","0.79%","6.16B"
"167","COR","Cencora, Inc.","68.85B","354.92","-0.12%","321.33B"
"168","NWG","NatWest Group plc","68.35B","17.58","2.57%","20.89B"
"169","CL","Colgate-Palmolive Company","68.04B","84.41","0.08%","20.10B"
"170","VRT","Vertiv Holdings Co","67.77B","177.26","2.74%","9.70B"
"171","MSI","Motorola Solutions, Inc.","66.39B","398.63","1.06%","11.31B"
"172","AJG","Arthur J. Gallagher & Co.","66.24B","257.92","0.69%","12.08B"
"173","RKT","Rocket Companies, Inc.","65.69B","23.33","-0.47%","6.10B"
"174","NET","Cloudflare, Inc.","65.41B","186.73","1.41%","2.01B"
"175","NSC","Norfolk Southern Corporation","65.25B","290.81","0.01%","12.23B"
"176","RSG","Republic Services, Inc.","65.25B","210.77","-0.01%","16.50B"
"177","CP","Canadian Pacific Kansas City Limited","65.25B","72.39","-","10.79B"
"178","LHX","L3Harris Technologies, Inc.","64.65B","345.60","1.52%","21.74B"
"179","TFC","Truist Financial Corporation","64.34B","50.30","0.03%","18.28B"
"180","EQNR","Equinor ASA","63.32B","25.23","2.15%","107.07B"
"181","MFC","Manulife Financial Corporation","63.11B","37.64","0.09%","22.91B"
"182","RACE","Ferrari N.V.","63.04B","347.23","-2.07%","8.31B"
"183","VALE","Vale S.A.","62.69B","14.50","-1.16%","40.03B"
